BOTTLE,20080509JAMSTEC
EXPOCODE,SECT,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDDPT,CTDDPT_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,FLUOR,FLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,CHLWELSH,CHLWELSH_W,PPHYTN,PPHYTN_FLAG_W,XMISS,XMISS_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PH,PH_FLAG_W,PH_TMP,PH_SCALE,THETA,SIG0
,,,,,,,,UTC,DEG,DEG,M,M,,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UG/L,,MG/CUM,,MG/CUM,,MG/CUM,,%TRANS,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,25_DEG,,DEG_C,,DEG C,KG/CUM
     49MR02K01, EQPAC,  CA07,1,0,0,1,20020111,1949,31.6312,170.009,5601,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,25, TS,-999,-999
     49MR02K01, EQPAC,  CA07,1,1,1,1,20020111,1949,31.6312,170.009,5601,1978,2,2001,2,1.945,2,34.589,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.81,27.66
     49MR02K01, EQPAC,  CA07,1,2,2,1,20020111,1949,31.6312,170.009,5601,1973,2,1996,2,1.948,2,34.588,2,34.598,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,1.81,27.66
     49MR02K01, EQPAC,  CA07,1,3,3,1,20020111,1949,31.6312,170.009,5601,1485,2,1501,2,2.506,2,34.492,2,34.507,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.4,27.53
     49MR02K01, EQPAC,  CA07,1,4,4,1,20020111,1949,31.6312,170.009,5601,1485,2,1500,2,2.507,2,34.492,2,34.334,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.4,27.53
     49MR02K01, EQPAC,  CA07,1,5,5,1,20020111,1949,31.6312,170.009,5601,1188,2,1200,2,3.031,2,34.39,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.95,27.4
     49MR02K01, EQPAC,  CA07,1,6,6,1,20020111,1949,31.6312,170.009,5601,891,2,899,2,3.929,2,34.227,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,3.86,27.19
     49MR02K01, EQPAC,  CA07,1,7,7,1,20020111,1949,31.6312,170.009,5601,596,2,601,2,6.203,2,33.995,2,34.004,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,6.15,26.74
     49MR02K01, EQPAC,  CA07,1,8,8,1,20020111,1949,31.6312,170.009,5601,396,2,400,2,11.388,2,34.328,2,34.471,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,11.34,26.19
     49MR02K01, EQPAC,  CA07,1,9,9,1,20020111,1949,31.6312,170.009,5601,197,2,199,2,16.287,2,34.666,2,34.672,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,16.25,25.43
     49MR02K01, EQPAC,  CA07,1,10,10,1,20020111,1949,31.6312,170.009,5601,49,2,49,2,19.288,2,34.594,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,19.28,24.64
     49MR02K01, EQPAC,  CA07,1,11,11,1,20020111,1949,31.6312,170.009,5601,10,2,10,2,19.285,2,34.594,2,34.603,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,19.28,24.64
     49MR02K01, EQPAC,  CA07,1,12,12,1,20020111,1949,31.6312,170.009,5601,10,2,10,2,19.285,2,34.594,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,19.28,24.64
     49MR02K01, EQPAC,  C014,1,0,0,1,20020123,1509,-0.0002,-160.002,5164,-999,9,-999,9,27.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,0.19,2,0.23,2,0.12,2,-999,9,1.86,2,3.89,2,0.47,2,0.46,2,-999,9,-999,9,-999,9,-999,-999
     49MR02K01, EQPAC,  C014,1,1,1,1,20020123,1509,-0.0002,-160.002,5164,10,2,10,2,27.902,2,35.428,2,-999,9,181.48,2,-999,9,0.6,1,0.19,2,0.23,2,0.12,2,87,1,1.87,2,3.9,2,0.46,2,0.45,2,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,1,2,2,1,20020123,1509,-0.0002,-160.002,5164,19,2,20,2,27.907,2,35.428,2,-999,9,181.33,2,-999,9,0.6,1,0.2,2,0.24,2,0.12,2,87,1,1.86,2,3.88,2,0.46,2,0.43,2,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,1,3,3,1,20020123,1509,-0.0002,-160.002,5164,30,2,30,2,27.909,2,35.428,2,-999,9,181.46,2,-999,9,0.6,1,0.2,2,0.22,2,0.12,2,87,1,1.87,2,3.9,2,0.46,2,0.44,2,-999,9,-999,9,-999,9,27.9,22.75
     49MR02K01, EQPAC,  C014,1,4,4,1,20020123,1509,-0.0002,-160.002,5164,40,2,40,2,27.89,2,35.429,2,-999,9,181.3,2,-999,9,0.6,1,0.09,2,0.23,2,0.29,2,87,1,1.83,2,3.97,2,0.47,2,0.45,2,-999,9,-999,9,-999,9,27.88,22.76
     49MR02K01, EQPAC,  C014,1,5,5,1,20020123,1509,-0.0002,-160.002,5164,49,2,50,2,27.864,2,35.431,2,-999,9,180.81,2,-999,9,0.6,1,0.19,2,0.23,2,0.13,2,87,1,1.86,2,3.97,2,0.48,2,0.45,2,-999,9,-999,9,-999,9,27.85,22.77
     49MR02K01, EQPAC,  C014,1,6,6,1,20020123,1509,-0.0002,-160.002,5164,61,2,61,2,27.755,2,35.438,2,-999,9,179.99,2,-999,9,0.7,1,0.23,2,0.32,2,0.24,2,87,1,1.85,2,4.32,2,0.51,2,0.48,2,-999,9,-999,9,-999,9,27.74,22.81
     49MR02K01, EQPAC,  C014,1,7,7,1,20020123,1509,-0.0002,-160.002,5164,68,2,69,2,27.659,2,35.443,2,-999,9,179.81,2,-999,9,0.6,1,0.25,2,0.33,2,0.24,2,87,1,1.86,2,4.5,2,0.5,2,0.5,2,-999,9,-999,9,-999,9,27.64,22.84
     49MR02K01, EQPAC,  C014,1,8,8,1,20020123,1509,-0.0002,-160.002,5164,80,2,80,2,27.609,2,35.438,2,-999,9,180.66,2,-999,9,0.5,1,0.22,2,0.28,2,0.18,2,88,1,1.91,2,4.49,2,0.47,2,0.5,2,-999,9,-999,9,-999,9,27.59,22.86
     49MR02K01, EQPAC,  C014,1,9,9,1,20020123,1509,-0.0002,-160.002,5164,91,2,91,2,27.545,2,35.431,2,-999,9,180.52,2,-999,9,0.4,1,0.2,2,0.25,2,0.16,2,88,1,1.95,2,4.59,2,0.47,2,0.5,2,-999,9,-999,9,-999,9,27.52,22.87
